代码,名称,涨停次数,最大连板,平均连板,炸板率,平均封板资金,涨停次数_norm,最大连板_norm,平均连板_norm,平均封板资金_norm,封板质量_norm,综合评分
002428,云南锗业,1,1,1.0,0.0,474502612.0,0.25,0.125,0.125,0.3928368416777616,1.0,37.14
600172,黄河旋风,3,3,1.7,0.833,135354664.33333334,0.75,0.375,0.2125,0.11205902243391705,0.16700000000000004,36.33
002421,达实智能,2,4,2.5,0.8,163259247.0,0.5,0.5,0.3125,0.13516099878954843,0.19999999999999996,35.71
000090,天健集团,2,2,1.5,0.333,43662162.0,0.5,0.25,0.1875,0.03614754774185053,0.667,35.44
002407,多氟多,1,1,1.0,0.0,321707143.0,0.25,0.125,0.125,0.26633871933521835,1.0,35.25
001225,和泰机电,2,2,1.5,0.333,26177718.0,0.5,0.25,0.1875,0.021672319185149374,0.667,35.23
603005,晶方科技,1,1,1.0,0.0,310363324.0,0.25,0.125,0.125,0.25694726412332547,1.0,35.1
600589,大位科技,1,1,1.0,0.0,299388906.0,0.25,0.125,0.125,0.24786163298591124,1.0,34.97
600895,张江高科,1,1,1.0,0.0,297090073.0,0.25,0.125,0.125,0.24595844789814483,1.0,34.94
002585,双星新材,2,3,2.0,0.6,76922234.5,0.5,0.375,0.25,0.06368329044261647,0.4,34.58
301439,泓淋电力,1,1,1.0,0.0,259378705.0,0.25,0.125,0.125,0.21473751396476576,1.0,34.47
301322,绿通科技,1,1,1.0,0.0,250057509.0,0.25,0.125,0.125,0.20702057183484682,1.0,34.36
000657,中钨高新,1,1,1.0,0.0,249346708.0,0.25,0.125,0.125,0.20643210548536886,1.0,34.35
003036,泰坦股份,3,2,1.3,0.7,65481378.333333336,0.75,0.25,0.1625,0.054211498952029535,0.30000000000000004,34.25
603353,和顺石油,3,1,1.0,0.5,39683094.0,0.75,0.125,0.125,0.03285330980424978,0.5,34.24
000767,晋控电力,1,1,1.0,0.0,238984782.0,0.25,0.125,0.125,0.19785355147829697,1.0,34.22
600396,华电辽能,1,1,1.0,0.0,224648253.0,0.25,0.125,0.125,0.1859844560707007,1.0,34.04
603601,再升科技,1,1,1.0,0.0,221728648.0,0.25,0.125,0.125,0.18356733890813678,1.0,34.0
000060,中金岭南,1,1,1.0,0.0,219693103.0,0.25,0.125,0.125,0.1818821278077752,1.0,33.98
000880,潍柴重机,1,1,1.0,0.0,213799760.0,0.25,0.125,0.125,0.17700307721354214,1.0,33.91
002888,惠威科技,1,1,1.0,0.0,213095282.0,0.25,0.125,0.125,0.17641984562418375,1.0,33.9
002806,华锋股份,3,2,1.3,0.727,59511188.666666664,0.75,0.25,0.1625,0.049268827629346604,0.273,33.64
603687,大胜达,1,1,1.0,0.0,191430810.0,0.25,0.125,0.125,0.15848400598523082,1.0,33.63
002272,川润股份,2,3,2.0,0.667,101265606.0,0.5,0.375,0.25,0.08383696912425971,0.33299999999999996,33.54
605196,华通线缆,1,1,1.0,0.0,172604580.0,0.25,0.125,0.125,0.14289792374486768,1.0,33.39
002350,北京科锐,1,1,1.0,0.0,170204940.0,0.25,0.125,0.125,0.1409112813641433,1.0,33.36
